source,title,date of collecting,region,seller's name,latest modified date,price,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Tipe Properti,Sertifikat,Daya Listrik,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Material Bangunan,Material Lantai,Jumlah Lantai,Hadap,Konsep dan Gaya Rumah,Pemandangan,Terjangkau Internet,Lebar Jalan,Tahun Dibangun,Hook,Kondisi Properti,Tipe Iklan,ID Iklan,Carport,Garasi,Sumber Air,facilities,Perbelanjaan,Transportasi,Kesehatan,Kamar Pembantu,Kamar Mandi Pembantu,Tahun Di Renovasi,Wisata,Others,Sekolah,Ibadah
https://www.rumah123.com/properti/jakarta-utara/hos16131991/,Dijual Cepat Rumah Golf Island Uk 10x30 View Golf Dan Danau Lokasi Startegis,2/4/2024 20:22,"Pantai Indah Kapuk, Jakarta Utara",Andree Then ,22 Januari 2024,Rp 16 Miliar,4,4,300 m²,750 m²,Rumah,"Lainnya (PPJB,Girik,Adat,dll)",4400 Watt,1,Tidak,Tidak,Unfurnished,,,3,,,,Ya,2 Mobil,,Tidak,Baru,Dijual,hos16131991,3,,," Kolam Ikan, Taman, Tempat Jemuran, Akses Parkir, Keamanan 24 jam,  One Gate System,  Playground, Wastafel, Track Lari",,,,,,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos15416660/,Rumah Hadap Barat Di Cluster Elite yang Strategis,2/4/2024 20:22,"Sunter, Jakarta Utara",Lily Huang ,22 Januari 2024,"Rp 6,3 Miliar",6,4,295 m²,500 m²,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,1,Ya,Ya,Semi Furnished,Bata Merah,Granit,2,Barat,Minimalis,Perkotaan,Ya,3 Mobil,2000,Tidak,Butuh Renovasi,Dijual,hos15416660,2,,PAM atau PDAM,"Jogging Track,  Keamanan, Taman, Keamanan 24 jam, Kitchen Set, Wastafel, Track Lari",,,,1,1,2020,,,,
https://www.rumah123.com/properti/jakarta-utara/hos15483290/,Rumah Mewah Minimalis Pik Full Furnished 10X26 3.5 Lantai Pool+Gym,2/4/2024 20:23,"Pantai Indah Kapuk, Jakarta Utara",Aeron Renli ,22 Januari 2024,Rp 14 Miliar,4,4,260 m²,640 m²,Rumah,SHM - Sertifikat Hak Milik,,2,Ya,Ya,Furnished,,,3,Utara,Minimalis Modern,,Tidak,,,Tidak,Bagus,Dijual,hos15483290,,,PAM atau PDAM,"Jalur Telepon,  Keamanan,  Kolam Renang, Taman, Tempat Jemuran",,,,1,1,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos14030965/," Rumah Camar Indah Pantai Indah Kapuk, Pantai Indah Kapuk Bagus",2/4/2024 20:23,"Pantai Indah Kapuk, Jakarta Utara",AFI Gut Hause ,23 Januari 2024,"Rp 12,5 Miliar",4,4,442 m²,600 m²,Rumah,SHM - Sertifikat Hak Milik,7700 Watt,1,Tidak,Tidak,Unfurnished,Beton,"Granit, Keramik, Marmer",2,Timur,,Perkotaan,Ya,3 Mobil,,Ya,Bagus,Dijual,hos14030965,2,2,PAM atau PDAM,"Jalur Telepon,  Keamanan, Taman, Tempat Jemuran, Keamanan 24 jam, Wastafel, Lapangan Bulu Tangkis",,,,1,1,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos16130415/,BEST DEAL EVER! RUMAH ELIT PREMIUM di PIK BANGUNAN 3LANTAI MODERN MINIMALIS,2/4/2024 20:24,"Pantai Indah Kapuk, Jakarta Utara",CYNTHIA TANAKA,23 Januari 2024,"Rp 9,5 Miliar",3,3,200 m²,420 m²,Rumah,,4400 Watt,,Ya,Ya,Semi Furnished,,Marmer,3,,Minimalis Modern,,Tidak,,2020,Tidak,Bagus,Dijual,hos16130415,1,,,"Jalur Telepon,  Taman, Tempat Jemuran, Kitchen Set, Wastafel",,,,1,1,2020,,,,
https://www.rumah123.com/properti/jakarta-utara/hos12779348/,Dijual Cepat Town House Ebony Lokasi Bagus,2/4/2024 20:24,"Pantai Indah Kapuk, Jakarta Utara",Vivi Maria  Soemantri ,02 Februari 2024,"Rp 9,5 Miliar",2,3,196 m²,400 m²,Rumah,SHM - Sertifikat Hak Milik,,,Tidak,Tidak,,,,2,,,,Tidak,,,Tidak,Bagus,Dijual,hos12779348,,,,,,,,1,1,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos10877631/,Dijual murah pelangi nila kelapa gading Rumah 2 Lantai SHM Butuh Renovasi Unfurnished,2/4/2024 20:25,"Kelapa Gading, Jakarta Utara",Yenni Gozal,30 Januari 2024,"Rp 3,1 Miliar",3,3,128 m²,165 m²,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,Tidak,Tidak,Unfurnished,,Keramik,2,Utara,,,Ya,3 Mobil,2000,Tidak,Butuh Renovasi,Dijual,hos10877631,1,,PAM atau PDAM,"Jalur Telepon,  Keamanan,  Kolam Renang, Taman, Tempat Jemuran, Keamanan 24 jam, Wastafel","Mall of Indonesia, Summarecon Mall Kelapa Gading",,"RS Mitra Keluarga Kelapa Gading, RS Gading Pluit",1,,,,"Balai Samudera, Taman Jogging Kelapa Gading",SMAS Don Bosco 1,
https://www.rumah123.com/properti/jakarta-utara/hos16177092/,"Rumah Kelapa Hibrida, Kelapa Gading Luas 6x17m2",2/4/2024 20:25,"Kelapa Gading, Jakarta Utara",Ray WHite Kelapa Gading ,26 Januari 2024,"Rp 2,5 Miliar",3,2,102 m²,,Rumah,SHM - Sertifikat Hak Milik,,,Tidak,Tidak,,,,,,,,Tidak,,,Tidak,Bagus,Dijual,hos16177092,,,,,"Mall of Indonesia, Summarecon Mall Kelapa Gading",,"RS Mitra Keluarga Kelapa Gading, RS Gading Pluit",,,,,"Balai Samudera, Taman Jogging Kelapa Gading",SMAS Don Bosco 1,
https://www.rumah123.com/properti/jakarta-utara/hos16219095/,Dijual Gading Kusuma  Kelapa Gading,2/4/2024 20:25,"Kelapa Gading, Jakarta Utara",Yenni Gozal,04 Februari 2024,"Rp 4,9 Miliar",3,3,180 m²,390 m²,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,1,Ya,Ya,Semi Furnished,Beton,Keramik,3,Timur,Minimalis Modern,,Ya,3 Mobil,2010,Tidak,Sudah Renovasi,Dijual,hos16219095,2,2,PAM atau PDAM," Ac,  Jalur Telepon, Jogging Track,  Keamanan, Taman, Tempat Jemuran, Akses Parkir, Keamanan 24 jam,  One Gate System,  Playground,  Kitchen Set,  Kompor, Kulkas, Wastafel, Track Lari","Mall of Indonesia, Summarecon Mall Kelapa Gading",,"RS Mitra Keluarga Kelapa Gading, RS Gading Pluit",1,1,2010,,"Balai Samudera, Taman Jogging Kelapa Gading",SMAS Don Bosco 1,
https://www.rumah123.com/properti/jakarta-utara/hos16274630/,Rumah Murah Sedayu City Cluster Eropa  Kelapa Gading Jakarta Utara ,2/4/2024 20:25,"Kelapa Gading, Jakarta Utara",Feronika Agnesia ,04 Februari 2024,"Rp 4,2 Miliar",3,3,100 m²,142 m²,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,1,Tidak,Tidak,Semi Furnished,,,2,,,,Tidak,,,Tidak,Bagus,Dijual,hos16274630,,,PAM atau PDAM,"Jalur Telepon, Keamanan,  Kolam Renang,  Taman, Tempat Jemuran","Mall of Indonesia, Summarecon Mall Kelapa Gading",,"RS Mitra Keluarga Kelapa Gading, RS Gading Pluit",1,1,,,"Balai Samudera, Taman Jogging Kelapa Gading",SMAS Don Bosco 1,
