source,title,date of collecting,region,seller's name,latest modified date,price,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Tipe Properti,Sertifikat,Daya Listrik,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Material Bangunan,Material Lantai,Jumlah Lantai,Hadap,Konsep dan Gaya Rumah,Pemandangan,Terjangkau Internet,Lebar Jalan,Tahun Dibangun,Hook,Kondisi Properti,Tipe Iklan,ID Iklan,Carport,Garasi,Sumber Air,facilities,Perbelanjaan,Transportasi,Kesehatan,Kamar Pembantu,Kamar Mandi Pembantu,Tahun Di Renovasi,Wisata,Others,Sekolah,Ibadah
https://www.rumah123.com/properti/jakarta-barat/hos15822861/,Rumah duri kepa 3 lantai di Jalan mangga XX SHM,1/21/2024 14:16,"Duri Kepa, Jakarta Barat",Ignatius Irwan Hidayat ,31 Desember 2023,"Rp 1,3 Miliar",3,3,42 m²,100 m²,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,Ya,Ya,Semi Furnished,"Batako, Beton, Bata Merah, Bata Hebel","Granit, Keramik",3,,Minimalis,Pemukiman Warga,Ya,2 Mobil,2020,Tidak,Bagus,Dijual,hos15822861,1,,PAM atau PDAM,"Ac, Jalur Telepon,  Jogging Track,  Keamanan, Tempat Jemuran, Kitchen Set,  Pemanas Air, Wastafel, Track Lari",,,,1,,2020,,,,
https://www.rumah123.com/properti/jakarta-barat/hos16078665/,Rumah Puri Kencana 250m² Dkt Puri Indah,1/21/2024 14:16,"Puri Indah, Jakarta Barat",SESSU _ GadingPro,17 Januari 2024,"Rp 7,7 Miliar",4,3,250 m²,304 m²,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,1,Ya,Ya,Semi Furnished,,,3,Selatan,Minimalis Modern,Pemukiman Warga,Ya,3 Mobil,2015,Tidak,Bagus,Dijual,hos16078665,,1,PAM atau PDAM,"Keamanan, Tempat Jemuran, Kitchen Set, Wastafel",,,,1,1,2015,,,,
https://www.rumah123.com/properti/jakarta-barat/hos15937774/,"Meruya 8x15, 2,5m Hooked Jalan Lebar, Parkir 2 Mobil St",1/21/2024 14:17,"Meruya, Jakarta Barat",Edward homebyorder,06 Januari 2024,"Rp 2,5 Miliar",3,3,90 m²,110 m²,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,Ya,Ya,Unfurnished,,,2,,Minimalis Modern,,Ya,2 Mobil,2022,Tidak,Baru,Dijual,hos15937774,2,2,,"Jalur Telepon, Keamanan, Tempat Jemuran, Keamanan 24 jam, Wastafel",,,,1,1,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos14854680/,Rumah Meruya 5x17.5m² Rp 1.99m St ,1/21/2024 14:17,"Meruya, Jakarta Barat",Edward homebyorder,06 Januari 2024,"Rp 1,99 Miliar",3,3,87 m²,85 m²,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,Ya,Ya,Unfurnished,,,2,,Minimalis Modern,,Ya,2 Mobil,2022,Tidak,Baru,Dijual,hos14854680,2,2,,"Jalur Telepon,  Taman, Tempat Jemuran, Keamanan 24 jam, Wastafel",,,,1,1,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos14851936/,RUMAH MERUYA 5x25M² Rp 2.3M St ___________________________,1/21/2024 14:18,"Meruya, Jakarta Barat",Edward homebyorder,06 Januari 2024,"Rp 2,3 Miliar",3,3,125 m²,140 m²,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,Ya,Ya,Unfurnished,,,2,,Minimalis Modern,,Ya,2 Mobil,2022,Tidak,Baru,Dijual,hos14851936,2,,,"Jalur Telepon,  Taman, Tempat Jemuran, Keamanan 24 jam, Wastafel",,,,1,1,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos14811457/,RUMAH MERUYA 5X15 HARGA 1.7M ST,1/21/2024 14:18,"Meruya, Jakarta Barat",Edward homebyorder,06 Januari 2024,"Rp 1,7 Miliar",3,3,75 m²,105 m²,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,Ya,Ya,Unfurnished,,,2,,Minimalis Modern,,Ya,2 Mobil,2022,Tidak,Baru,Dijual,hos14811457,2,2,,"Jalur Telepon, Keamanan, Tempat Jemuran, Keamanan 24 jam, Wastafel",,,,1,1,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos14810869/,Rumah Meruya 5x25 Harga 2.15m St,1/21/2024 14:19,"Meruya, Jakarta Barat",Edward homebyorder,06 Januari 2024,"Rp 2,15 Miliar",3,3,125 m²,140 m²,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,Ya,Ya,Unfurnished,,,2,,Minimalis Modern,,Ya,2 Mobil,2022,Tidak,Baru,Dijual,hos14810869,2,,,"Jalur Telepon,  Keamanan, Taman, Tempat Jemuran, Wastafel",,,,1,1,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos16079909/,Dijual Rumah Malibu city resort  Cengkareng  2 Lantai SHM Bagus siap huni,1/21/2024 14:20,"Cengkareng, Jakarta Barat",Karin Lee ,17 Januari 2024,"Rp 2,3 Miliar",3,2,90 m²,120 m²,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,1,Ya,Ya,Semi Furnished,Bata Merah,Keramik,2,Selatan,Minimalis,Perkotaan,Ya,3 Mobil,2013,Ya,Bagus,Dijual,hos16079909,,2,PAM atau PDAM,"Ac,  Jogging Track,  Keamanan, Taman, Kitchen Set, Wastafel, Track Lari",,"Stasiun Rawa Buaya, Stasiun Taman Kota, Stasiun Bojong Indah","RSUD Cengkareng, RS Cinta Kasih Tzu Chi",1,1,2013,,Pasadena Cengkareng,Sekolah Narada,Masjid Hasyim Azhari
https://www.rumah123.com/properti/jakarta-barat/hos12884100/,Rumah Puri Indah Jalanan Lebar Tanah Ngantong Hoki,1/21/2024 14:20,"Puri Indah, Jakarta Barat",Frisca ,10 Januari 2024,"Rp 11,5 Miliar",5,3,403 m²,315 m²,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,2,Ya,Ya,Semi Furnished,,,2,Utara,,,Tidak,,,Tidak,Bagus,Dijual,hos12884100,3,,,"Jalur Telepon,  Taman, Tempat Jemuran",,,,1,1,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos15980226/,Rumah 2 Lantai di Permata Buana Cluster Aman Banjir Jakarta Barat,1/21/2024 14:21,"Permata Buana, Jakarta Barat",Frisca ,09 Januari 2024,Rp 15 Miliar,4,3,500 m²,700 m²,Rumah,SHM - Sertifikat Hak Milik,,1,Ya,Ya,Unfurnished,,,2,Selatan,Minimalis,Perkotaan,Ya,2 Mobil,,Tidak,Bagus,Dijual,hos15980226,2,1,PAM atau PDAM,"Jalur Telepon,  Taman, Tempat Jemuran, Keamanan 24 jam,  One Gate System",,,,2,1,,,,,
