source,title,date of collecting,region,seller's name,latest modified date,price,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Material Bangunan,Material Lantai,Jumlah Lantai,Hadap,Konsep dan Gaya Rumah,Pemandangan,Terjangkau Internet,Lebar Jalan,Tahun Dibangun,Sumber Air,Hook,Kondisi Properti,Tipe Iklan,ID Iklan,facilities,Kesehatan,Perbelanjaan,Sekolah,Transportasi,Wisata,Kamar Pembantu,Kamar Mandi Pembantu,Garasi,Others,Ibadah,Tahun Di Renovasi
https://www.rumah123.com/properti/jakarta-selatan/hos15665508/,Rumah Lama Hitung Tanah Di Gated Komplek Permata Intan Permata Hijau,12/28/2023 21:11,"Permata Hijau, Jakarta Selatan",Louis Santoso,04 Desember 2023,"Rp 29,6 Miliar",,,630 m²,500 m²,,Rumah,SHM - Sertifikat Hak Milik,,,Tidak,Tidak,,,,1,,,,Tidak,,,,Tidak,,Dijual,hos15665508,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos15665419/,Rumah Di Permata Hijau Dekat Hero,12/28/2023 21:11,"Permata Hijau, Jakarta Selatan",Louis Santoso,04 Desember 2023,Rp 29 Miliar,,,579 m²,600 m²,,Rumah,,,,Tidak,Tidak,,,,2,,,,Tidak,,,,Tidak,,Dijual,hos15665419,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos12203210/,rumah 5 menit ke MRT lebak bulus,12/28/2023 21:11,"Cinere, Jakarta Selatan",Hani Ishariyani ,05 Desember 2023,"Rp 4,2 Miliar",5,3,240 m²,340 m²,1,Rumah,HGB - Hak Guna Bangunan,3500 Watt,1,Ya,Ya,Unfurnished,Bata Merah,Marmer,2,,Town House,Taman Kota,Ya,4 Mobil,2016,Sumur Pompa,Tidak,Bagus,Dijual,hos12203210,,,,,,,1,1,1,,,2022
https://www.rumah123.com/properti/jakarta-selatan/hos15666547/,Rumah Baru dalam cluster di Cilandak Jakarta selatan lokasi strategis,12/28/2023 21:11,"Cilandak, Jakarta Selatan",Ghagadira  ,22 Desember 2023,"Rp 2,2 Miliar",3,3,72 m²,130 m²,1,Rumah,SHM - Sertifikat Hak Milik,3300 Watt,1,Ya,Ya,Semi Furnished,,Granit,1,Utara,Town House,Perkotaan,Ya,2 Mobil,2023,Sumur Bor,Tidak,Baru,Dijual,hos15666547,,"RS Mayapada Jakarta Selatan, RSUP Fatmawati",Citos,Sekolah Perancis,"MRT Fatmawati, MRT Haji Nawi, Stasiun MRT Cipete Raya, Stasiun Mrt Lebak Bulus, Stasiun Lebak Bulus, Stasiun Mrt Fatmawati",Museum Layang-Layang,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos15318900/,Rumah Di Serenia Hills Cluster RegentJakarta Selatan,12/28/2023 21:11,"Cilandak, Jakarta Selatan",Titik Kristiani,04 Desember 2023,Rp 7 Miliar,5,3,208 m²,245 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,,,,,,,2,,,,,,,,,bagus,Dijual,hos15318900,,"RS Mayapada Jakarta Selatan, RSUP Fatmawati",Citos,Sekolah Perancis,"MRT Fatmawati, MRT Haji Nawi, Stasiun MRT Cipete Raya, Stasiun Mrt Lebak Bulus, Stasiun Lebak Bulus, Stasiun Mrt Fatmawati",Museum Layang-Layang,1,1,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos15113249/,Rumah Sultan Modern Mewah 3 Lantai Full Furnished Di Fatmawati,12/28/2023 21:11,"Fatmawati, Jakarta Selatan",Rohmah ,04 Desember 2023,Rp 85 Miliar,5,5,1650 m²,1200 m²,4,Rumah,SHM - Sertifikat Hak Milik,23000 Watt,,Ya,Ya,Furnished,,Marmer,3,,Modern,,Ya,2 Mobil,,,Tidak,Bagus,Dijual,hos15113249,,,,,,,,,4,,,
https://www.rumah123.com/properti/jakarta-selatan/hos15651443/,Rumah Lama Siap Huni Paling Strategis di Guntur Setiabudi Jakarta Selatan,12/28/2023 21:12,"Guntur, Jakarta Selatan",Gelora  Sukarno,04 Desember 2023,Rp 15 Miliar,,,472 m²,300 m²,,Rumah,SHM - Sertifikat Hak Milik,,,Tidak,Tidak,,,,1,,,,Tidak,,,,Tidak,Butuh Renovasi,Dijual,hos15651443,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos14190715/,Rumah 2 Lantai Unfurnished di Jln Martimbang Raya ,12/28/2023 21:12,"Pakubuwono, Jakarta Selatan",Brian Andrew Susilo ,10 Juli 2023,Rp 30 Miliar,5,5,835 m²,900 m²,1,Rumah,SHM - Sertifikat Hak Milik,16500 Watt,2,,Ya,Unfurnished,,Marmer,2,,,Perkotaan,Ya,3 Mobil,2015,PAM atau PDAM,Tidak,Bagus,Dijual,hos14190715,,,,,,,3,2,6,,,2015
https://www.rumah123.com/properti/jakarta-selatan/hos14624216/,Rumah Kokoh 2 lantai Murah di Kalibata Jakarta Selatan,12/28/2023 21:12,"Kalibata, Jakarta Selatan",Yuli Permana ,24 Desember 2023,"Rp 2,5 Miliar",3,3,150 m²,60 m²,1,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,1,Tidak,Ya,Unfurnished,Bata Merah,Keramik,2,Utara,Minimalis,Pemukiman Warga,Ya,2 Mobil,2005,Sumur Pompa,Tidak,Butuh Renovasi,Dijual,hos14624216,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos15868358/,Rumah bagus terawat lingkungan nyaman Bintaro sektor 6,12/28/2023 21:12,"Bintaro, Jakarta Selatan",Rully Husni,24 Desember 2023,"Rp 3,5 Miliar",4,3,180 m²,240 m²,1,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,1,Ya,Ya,Semi Furnished,Bata Merah,Keramik,2,Barat,Modern,Perkotaan,Ya,2 Mobil,2000,PAM atau PDAM,Tidak,Bagus,Dijual,hos15868358,,,,,,,1,1,1,,,2016
